puesto	tema	tipo	escrito_en_puesto	escrito_en_tema	semejanza	enunciado
32	13	nuevo				Igualdad, diversidad y accesibilidad en la producción de audiovisuales: planificación preventiva, coordinación de actividades, exteriores, público, proveedores, emergencias, protección de menores y criterios de servicio público.
32	14	nuevo				Prevención de riesgos laborales en la producción audiovisual: identificación de riesgos en la planificación y ejecución de programas, informativos, retransmisiones, grabaciones y eventos; coordinación de actividades empresariales con personal externo; seguridad en estudios, platós, exteriores, localizaciones, unidades móviles, desplazamientos, montajes, desmontajes, presencia de público e invitados; riesgos por electricidad, iluminación, cableado, manipulación de cargas, trabajo en altura, climatología, aglomeraciones, estrés operativo y trabajo a turnos; medidas preventivas, emergencias, evacuación, primeros auxilios, accidente in itinere y en misión, comunicación de incidencias y escalado al responsable preventivo.
32	15	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
33	1	nuevo				Lenguaje audiovisual aplicado a televisión: plano, eje, composición, continuidad, ritmo, puesta en escena, movimientos de cámara y construcción visual del relato.
33	2	nuevo				Guion literario, guion técnico, escaleta y planificación de la realización: análisis de contenidos, desglose, minutado, storyboard, planificación de cámaras, orden de realización, estructura narrativa y necesidades técnicas.
33	3	nuevo				Funciones del realizador y del ayudante de realización en programas, informativos, deportes y retransmisiones.
33	4	nuevo				Organización del control de realización: mezclador, CCU, grafismo, sonido, iluminación, prompter, servidores y comunicaciones.
33	5	nuevo				Puesta en escena: escenografía, dirección de cámaras, movimientos, marcas, continuidad y coordinación de plató.
33	6	nuevo				Realización multicámara en directo: ensayos, llamadas, órdenes, prevención de errores y gestión de incidencias.
33	7	nuevo				Realización monocámara, reportajes, promociones, microespacios y piezas postproducidas.
33	8	nuevo				Cámaras, ópticas, soportes, encuadres, profundidad de campo, filtros, estabilización y criterios visuales.
33	9	nuevo				Mezclador de vídeo y recursos de realización: transiciones, efectos, incrustaciones, chroma, DVE, multipantalla, macros, señales, keyers, grafismo en directo y criterios de uso narrativo.
33	10	nuevo				Iluminación para realización: criterios narrativos, continuidad lumínica, temperatura de color y coordinación con imagen.
33	11	nuevo				Sonido para realización: planos sonoros, coordinación de microfonía, retorno, intercom y sincronía.
33	12	nuevo				Grafismo: rotulación, realidad aumentada, decorados virtuales, pantallas y elementos de continuidad visual.
33	13	nuevo				Postproducción: montaje, edición, efectos, grafismo, mezcla y revisión de calidad final.
33	14	nuevo				Formatos de vídeo, resolución, compresión, HD, UHD, HDR, códecs, archivos y entregables.
33	15	nuevo				Producción transmedia y realización para plataformas digitales, redes sociales y directos IP.
33	16	nuevo				Accesibilidad y responsabilidad editorial en la realización: subtitulado, audiodescripción, lengua de signos, protección de menores, igualdad, diversidad, lenguaje inclusivo y tratamiento responsable de imágenes.
33	17	parecido	30	10	0.55	Derechos de autor, imagen y uso de materiales de archivo en piezas realizadas.
33	18	nuevo				Seguridad, comunicación y coordinación de equipos técnico-artísticos en situaciones de presión.
33	19	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
15	1	nuevo				Diseño gráfico aplicado a televisión, radio visual, web, redes y plataformas digitales.
15	2	nuevo				Identidad visual corporativa: manual de marca, coherencia gráfica, legibilidad, color, tipografía y adaptación a formatos.
15	3	nuevo				Grafismo para informativos, programas, deportes, promociones, continuidad y eventos especiales.
15	4	nuevo				Infografía y visualización de datos: claridad, rigor, ética, fuentes y representación accesible.
15	5	nuevo				Animación 2D/3D, motion graphics, composición, rotoscopia, tracking y efectos visuales.
15	6	nuevo				Escenarios virtuales, realidad aumentada, pantallas, videowalls y grafismo en tiempo real.
15	7	nuevo				Flujos de trabajo con realización, edición, producción, documentación y continuidad.
15	8	nuevo				Formatos técnicos: resolución, códecs, alfa, safe areas, colorimetría, HDR/SDR y entrega para emisión.
15	9	nuevo				Herramientas profesionales de diseño, composición, edición, plantillas y automatización gráfica.
15	10	nuevo				Accesibilidad: contraste, legibilidad, tamaño, lectura fácil, subtítulos, pictogramas y diseño inclusivo.
15	11	nuevo				Derechos de autor, bancos de imágenes, tipografías, licencias, derechos de imagen y atribución.
15	12	nuevo				Archivo, catalogación y reutilización de elementos gráficos, plantillas y proyectos.
15	13	nuevo				Diseño para redes sociales y plataformas: formatos verticales, miniaturas, piezas cortas y coherencia de marca.
15	14	nuevo				Gestión de proyectos gráficos: briefing, propuesta, revisión, aprobación y control de calidad.
15	15	nuevo				Innovación: IA generativa, ética visual, validación humana, deepfakes y trazabilidad.
15	16	nuevo				Promoción y creatividad visual al servicio de la programación pública.
15	17	nuevo				Buenas prácticas de colaboración en plazos cortos y entornos de directo.
15	18	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
5	1	parecido	33	1	0.60	Lenguaje audiovisual aplicado a televisión: tipos de plano, encuadre, eje, continuidad, raccord, ritmo, composición y movimientos de cámara. Continuidad, ritmo y narración visual.
5	2	nuevo				Guion, escaleta y documentación de realización: guion literario, guion técnico, escaleta, minutado, rundown, storyboard, órdenes de realización, partes, listados y documentación de apoyo; desglose y planificación de cámaras.
5	3	nuevo				Preparación de programas y grabaciones: revisión de escaletas, comprobación de necesidades, coordinación previa y flujos de trabajo con las áreas de producción, redacción, técnica, grafismo, sonido, iluminación, documentación y continuidad.
5	4	parecido	33	4	0.71	Asistencia a la organización del control de realización: mezclador, CCU, grafismo, sonido, iluminación, servidores de video y audio y comunicaciones.
5	5	identico	33	5	1.00	Puesta en escena: escenografía, dirección de cámaras, movimientos, marcas, continuidad y coordinación de plató.
5	6	nuevo				Realización multicámara en directo: apoyo a ensayos, coordinación de órdenes, seguimiento de cámaras, prevención de errores, control de tiempos, continuidad visual y comunicación de incidencias.
5	7	identico	33	7	1.00	Realización monocámara, reportajes, promociones, microespacios y piezas postproducidas.
5	8	identico	33	8	1.00	Cámaras, ópticas, soportes, encuadres, profundidad de campo, filtros, estabilización y criterios visuales.
5	9	nuevo				Mezcladores de vídeo, efectos, transiciones, incrustaciones, chroma, DVE y señalización técnica.
5	10	identico	33	10	1.00	Iluminación para realización: criterios narrativos, continuidad lumínica, temperatura de color y coordinación con imagen.
5	11	identico	33	11	1.00	Sonido para realización: planos sonoros, coordinación de microfonía, retorno, intercom y sincronía.
5	12	identico	33	12	1.00	Grafismo, rotulación, realidad aumentada, decorados virtuales, pantallas y elementos de continuidad visual.
5	13	identico	33	13	1.00	Postproducción: montaje, edición, efectos, grafismo, mezcla y revisión de calidad final.
5	14	identico	33	14	1.00	Formatos de vídeo, resolución, compresión, HD, UHD, HDR, códecs, archivos y entregables.
5	15	parecido	33	15	0.78	Realización para plataformas digitales, redes sociales y directos IP.
5	16	nuevo				Asistencia en plató y regiduría: comunicación entre control y plató, coordinación de presentadores, invitados, público, cámaras, sonido, iluminación, escenografía, entradas, salidas, movimientos y tiempos.
5	17	nuevo				Accesibilidad, subtitulado, audiodescripción y lenguaje inclusivo en la puesta en antena.
5	18	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
27	1	nuevo				Instalaciones eléctricas de baja tensión: magnitudes eléctricas, corriente alterna, potencia, energía, factor de potencia, caída de tensión y equilibrado de cargas.
27	2	nuevo				Reglamento electrotécnico para baja tensión e instrucciones técnicas complementarias: documentación, puesta en servicio, verificaciones, inspecciones y mantenimiento.
27	3	nuevo				Cuadros eléctricos, aparamenta y protecciones: automáticos, diferenciales, fusibles, contactores, relés, seccionadores, selectividad y protección frente a sobretensiones.
27	4	nuevo				Canalizaciones, conductores y cableado: dimensionado básico, secciones, identificación, bandejas, conexiones, bornes y criterios de seguridad en salas técnicas.
27	5	nuevo				Puestas a tierra y equipotencialidad: esquemas de conexión, mediciones, continuidad, resistencia de tierra, protección de personas y compatibilidad con equipos sensibles.
27	6	nuevo				Alumbrado interior, exterior y de emergencia en edificios técnicos: luminarias, eficiencia energética, alumbrado de seguridad, mantenimiento y reposición.
27	7	nuevo				Grupos electrógenos, sistemas de alimentación ininterrumpida y continuidad de servicio: transferencia de carga, baterías, autonomía, pruebas periódicas y actuación ante incidencias.
27	8	nuevo				Instalaciones eléctricas en centros de producción audiovisual, estudios, salas de control, CPD, racks, centros emisores y unidades móviles: continuidad, redundancia, ruido eléctrico y compatibilidad electromagnética.
27	9	nuevo				Climatización y frío industrial aplicado al mantenimiento de edificios y salas técnicas: principios básicos, equipos, refrigerantes, ventilación, control de temperatura y humedad, averías frecuentes y mantenimiento preventivo.
27	10	nuevo				Reglamento de instalaciones térmicas en los edificios: eficiencia, seguridad, mantenimiento, inspección y documentación.
27	11	nuevo				Sistemas de protección contra incendios y seguridad en instalaciones: detección, alarmas, extinción, señalización, sectorización y coordinación con planes de emergencia.
